Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.433071700,1,0,0,0,1
0.433076800,1,0,0,0,0
0.433082000,1,0,0,0,1
0.433087100,1,0,0,0,0
0.433092300,1,0,0,0,1
0.433097400,1,0,0,0,0
0.433102600,1,0,0,0,1
0.433107700,1,0,0,0,0
0.433112900,1,0,0,0,1
0.433118000,1,0,0,0,0
0.433123200,1,0,0,0,1
0.433128300,1,0,0,0,0
0.433133500,1,0,0,0,1
0.433138600,1,0,0,0,0
0.433143800,1,0,0,0,1
0.433148900,1,0,0,0,0
0.433154100,1,0,0,0,1
0.433159300,1,0,0,0,0
0.433164400,1,0,0,0,1
0.433169600,1,0,0,0,0
0.433174800,1,0,0,0,1
0.433180000,1,0,0,0,0
0.433185100,1,0,0,0,1
0.433190300,1,0,0,0,0
0.433195500,1,0,0,0,1
0.433200700,1,0,0,0,0
0.433205900,1,0,0,0,1
0.433211000,1,0,0,0,0
0.433216200,1,0,0,0,1
0.433221400,1,0,0,0,0
0.433226600,1,0,0,0,1
0.433231800,1,0,0,0,0
0.433237000,1,0,0,0,1
0.433242200,1,0,0,0,0
0.433247400,1,0,0,0,1
0.433252600,1,0,0,0,0
0.433257800,1,0,0,0,1
0.433263000,1,0,0,0,0
0.433268200,1,0,0,0,1
0.433273400,1,0,0,0,0
0.433278600,1,0,0,0,1
0.433283800,1,0,0,0,0
0.433289100,1,0,0,0,1
0.433294300,1,0,0,0,0
0.433299500,1,0,0,0,1
0.433304700,1,0,0,0,0
0.433309900,1,0,0,0,1
0.433315200,1,0,0,0,0
0.433320400,1,0,0,0,1
0.433325600,1,0,0,0,0
0.433330900,1,0,0,0,1
0.433336100,1,0,0,0,0
0.433341300,1,0,0,0,1
0.433346600,1,0,0,0,0
0.433351800,1,0,0,0,1
0.433357100,1,0,0,0,0
0.433362300,1,0,0,0,1
0.433367600,1,0,0,0,0
0.433372800,1,0,0,0,1
0.433378100,1,0,0,0,0
0.433383300,1,0,0,0,1
0.433388600,1,0,0,0,0
0.433393900,1,0,0,0,1
0.433399100,1,0,0,0,0
0.433404400,1,0,0,0,1
0.433409700,1,0,0,0,0
0.433414900,1,0,0,0,1
0.433420200,1,0,0,0,0
0.433425500,1,0,0,0,1
0.433430800,1,0,0,0,0
0.433436000,1,0,0,0,1
0.433441300,1,0,0,0,0
0.433446600,1,0,0,0,1
0.433451900,1,0,0,0,0
0.433457200,1,0,0,0,1
0.433462500,1,0,0,0,0
0.433467800,1,0,0,0,1
0.433473100,1,0,0,0,0
0.433478400,1,0,0,0,1
0.433483700,1,0,0,0,0
0.433489000,1,0,0,0,1
0.433494300,1,0,0,0,0
0.433499600,1,0,0,0,1
