Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.503451700,0,0,1,1
0.504454400,0,0,0,1
0.506457400,0,0,0,0
0.507458800,1,0,0,0
0.509462200,1,1,0,0
0.509471400,1,1,0,1
0.512467800,0,1,0,1
0.512476900,0,1,0,0
0.515471700,0,1,1,0
0.515480800,0,1,1,1
0.516472400,0,0,1,1
0.517473900,1,0,1,1
0.518476700,1,0,1,0
0.521480400,1,0,1,1
0.522481800,0,0,1,1
0.523483400,0,1,1,1
0.524484900,0,1,1,0
0.526489400,0,1,0,0
0.527491700,1,1,0,0
0.527500700,1,1,0,1
0.530495400,1,0,0,1
0.530504500,1,0,0,0
0.532497400,0,0,0,0
0.533499000,0,0,0,1
0.536504100,0,0,0,0
0.537507000,0,0,1,0
0.537515900,0,1,1,0
0.537524900,1,1,1,0
0.539508900,1,1,1,1
0.542512800,0,1,1,1
0.542521800,0,1,1,0
0.544515900,0,0,1,0
0.545517400,0,0,1,1
0.547519900,1,0,1,1
0.548522000,1,0,0,1
0.548531200,1,0,0,0
0.551525600,1,1,0,0
0.551534600,1,1,0,1
0.552527200,0,1,0,1
0.554529300,0,1,0,0
0.557535400,1,1,0,0
0.557544600,1,1,0,1
0.558535800,1,0,0,1
0.559537200,1,0,1,1
0.560538400,1,0,1,0
0.562540600,0,0,1,0
0.563541800,0,0,1,1
0.565544100,0,1,1,1
0.566545600,0,1,1,0
0.567548200,1,1,1,0
0.569550800,1,1,1,1
0.570552200,1,1,0,1
0.572556200,1,0,0,1
0.572565100,0,0,0,1
0.572573900,0,0,0,0
0.575559100,0,0,0,1
0.577561600,1,0,0,1
0.578563000,1,0,0,0
0.579564300,1,1,0,0
0.581569200,1,1,1,0
0.581578400,1,1,1,1
0.582569500,0,1,1,1
0.584571900,0,1,1,0
0.586574400,0,0,1,0
0.587576500,1,0,1,0
0.587585500,1,0,1,1
0.590580600,1,0,1,0
0.592584400,1,0,0,0
0.592593600,0,0,0,0
0.593585800,0,1,0,0
0.593594800,0,1,0,1
0.596590300,0,1,0,0
0.597591500,1,1,0,0
0.599594400,1,1,0,1
0.600597400,1,0,0,1
0.602601000,0,0,0,1
0.602610100,0,0,0,0
0.603601300,0,0,1,0
0.605604300,0,0,1,1
0.607607800,0,1,1,1
0.607617000,1,1,1,1
0.608609900,1,1,1,0
0.611613100,1,1,1,1
0.612614200,0,1,1,1
0.614618100,0,1,0,1
0.614627100,0,0,0,1
0.614636100,0,0,0,0
0.617621800,1,0,0,0
0.617630800,1,0,0,1
0.620625900,1,0,0,0
0.621627200,1,1,0,0
0.622628600,0,1,0,0
0.623629800,0,1,0,1
0.625632500,0,1,1,1
0.626634000,0,1,1,0
0.627635400,1,1,1,0
0.628638300,1,0,1,0
0.629639400,1,0,1,1
0.632643400,0,0,1,1
0.632652600,0,0,1,0
0.635648800,0,1,1,0
0.635658000,0,1,1,1
0.636649400,0,1,0,1
0.637650900,1,1,0,1
0.638652200,1,1,0,0
0.641656000,1,1,0,1
0.642658200,1,0,0,1
0.642667300,0,0,0,1
0.644661900,0,0,0,0
0.647667200,0,0,1,0
0.647676100,1,0,1,0
0.647685100,1,0,1,1
0.649669200,1,1,1,1
0.650670400,1,1,1,0
0.652672400,0,1,1,0
0.653673600,0,1,1,1
0.656679300,0,0,1,1
0.656688500,0,0,1,0
0.657679800,1,0,1,0
0.658681100,1,0,0,0
0.659682500,1,0,0,1
0.662688600,0,0,0,1
0.662697600,0,0,0,0
0.663688700,0,1,0,0
0.665691300,0,1,0,1
0.667693700,1,1,0,1
0.668695300,1,1,0,0
0.669696800,1,1,1,0
0.670698400,1,0,1,0
0.671701300,1,0,1,1
0.672702300,0,0,1,1
0.674704800,0,0,1,0
0.677710400,0,1,1,0
0.677719400,1,1,1,0
0.677728400,1,1,1,1
0.680715000,1,1,0,1
0.680724100,1,1,0,0
0.682716700,0,1,0,0
0.683719500,0,1,0,1
0.684720500,0,0,0,1
0.686723100,0,0,0,0
0.687724000,1,0,0,0
0.689726800,1,0,0,1
0.691730200,1,0,1,1
0.691739400,1,1,1,1
0.692733300,0,1,1,1
0.692742100,0,1,1,0
0.695736200,0,1,1,1
0.697740700,1,1,1,1
0.698742700,1,0,1,1
0.698751900,1,0,1,0
0.701745600,1,0,1,1
0.702747600,1,0,0,1
0.702756700,0,0,0,1
0.704749500,0,0,0,0
0.705752400,0,1,0,0
0.707755600,1,1,0,0
0.707764600,1,1,0,1
0.710758100,1,1,0,0
0.712763100,1,0,0,0
0.712772300,0,0,0,0
0.713764300,0,0,1,0
0.713773500,0,0,1,1
0.716766800,0,0,1,0
0.717768100,1,0,1,0
0.719772900,1,1,1,0
0.719782100,1,1,1,1
0.722776300,0,1,1,1
0.722785500,0,1,1,0
0.724778100,0,1,0,0
0.725779600,0,1,0,1
0.726780900,0,0,0,1
0.727783600,1,0,0,1
0.728784500,1,0,0,0
0.731787600,1,0,0,1
0.732788700,0,0,0,1
0.733790100,0,1,0,1
0.734791500,0,1,0,0
0.735792800,0,1,1,0
0.737797700,1,1,1,0
0.737806700,1,1,1,1
0.740800900,1,0,1,1
0.740810100,1,0,1,0
0.742802700,0,0,1,0
0.743804300,0,0,1,1
0.746810100,0,0,0,1
0.746819300,0,0,0,0
